Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
restricción dinámico	4	23.63	restricción dinámica___restricciones dinámicas	Nom Adjectif
tasa interanual	4	23.63	tasa interanual	Nom Adjectif
stocks de capital	4	23.63	stocks de capital	Nom Préposition Nom
renta inicial	4	23.63	renta inicial	Nom Adjectif
sentido anterior	4	23.63	sentido anterior	Nom Adjectif
ingreso monetario	4	23.63	ingreso monetario___ingresos monetarios	Nom Adjectif
sistema de idea	4	23.63	sistemas de ideas	Nom Préposition Nom
moneda español	4	23.63	moneda española	Nom Nom
pareto	4	23.63	pareto	Nom
fecha de amortización	4	23.63	fecha de amortización	Nom Préposition Nom
vida residual	4	23.63	vida residual	Nom Adjectif
cupón anual	4	23.63	cupón anual	Nom Adjectif
escolásticos	4	23.63	escolásticos	Adjectif
parámetro del modelo	4	23.63	parámetros del modelo	Nom Préposition Nom
monvalor	4	23.63	monvalor	Nom
precio del futuro	4	23.63	precio del futuro	Nom Préposition Nom
capital por trabajador	4	23.63	capital por trabajador	Nom Préposition Nom
precio en relación	4	23.63	precio en relación	Nom Préposition Nom
distribución del ingreso	4	23.63	distribución del ingreso	Nom Préposition Nom
cálculo razonable	4	23.63	cálculo razonable___cálculos razonables	Nom Adjectif
solow	4	23.63	solow	Nom
tipo de interés bancario	4	23.63	tipos de interés bancarios	Nom Préposition Nom Adjectif
valor igual	4	23.63	valor igual	Nom Adjectif
tasa exógena	4	23.63	tasa exógena	Nom Adjectif
sobrestructura	4	23.63	sobrestructura	Nom
priori	4	23.63	priori	Nom
utilidad marginal	4	23.63	utilidad marginal	Nom Adjectif
ocupación completo	4	23.63	ocupación completa	Nom Adjectif
cierre de sesión	4	23.63	cierre de sesión	Nom Préposition Nom
